sensor_id,timestamp,value,unit
temp_sensor_2,2026-01-11T01:16:56.269573,17.32,C
pressure_sensor_1,2026-01-11T01:17:04.269573,1012.45,hPa
pressure_sensor_1,2026-01-11T01:17:12.269573,1000.57,hPa
pressure_sensor_1,2026-01-11T01:17:20.269573,1025.06,hPa
temp_sensor_1,2026-01-11T01:17:28.269573,19.16,C
temp_sensor_2,2026-01-11T01:17:36.269573,19.32,C
humidity_sensor_1,2026-01-11T01:17:44.269573,51.96,%
pressure_sensor_1,2026-01-11T01:17:52.269573,1025.91,hPa
humidity_sensor_1,2026-01-11T01:18:00.269573,44.22,%
pressure_sensor_1,2026-01-11T01:18:08.269573,1016.42,hPa
temp_sensor_2,2026-01-11T01:18:16.269573,20.47,C
temp_sensor_1,2026-01-11T01:18:24.269573,18.7,C
humidity_sensor_1,2026-01-11T01:18:32.269573,55.51,%
temp_sensor_1,2026-01-11T01:18:40.269573,20.2,C
temp_sensor_2,2026-01-11T01:18:48.269573,20.37,C
temp_sensor_1,2026-01-11T01:18:56.269573,19.64,C
temp_sensor_1,2026-01-11T01:19:04.269573,20.24,C
pressure_sensor_1,2026-01-11T01:19:12.269573,998.06,hPa
humidity_sensor_1,2026-01-11T01:19:20.269573,57.45,%
temp_sensor_2,2026-01-11T01:19:28.269573,20.63,C
temp_sensor_1,2026-01-11T01:19:36.269573,17.93,C
temp_sensor_1,2026-01-11T01:19:44.269573,24.94,C
humidity_sensor_1,2026-01-11T01:19:52.269573,45.53,%
pressure_sensor_1,2026-01-11T01:20:00.269573,990.4,hPa
temp_sensor_1,2026-01-11T01:20:08.269573,22.31,C
temp_sensor_1,2026-01-11T01:20:16.269573,22.01,C
humidity_sensor_1,2026-01-11T01:20:24.269573,44.57,%
temp_sensor_1,2026-01-11T01:20:32.269573,18.72,C
temp_sensor_1,2026-01-11T01:20:40.269573,17.68,C
temp_sensor_2,2026-01-11T01:20:48.269573,22.13,C
temp_sensor_2,2026-01-11T01:20:56.269573,17.97,C
pressure_sensor_1,2026-01-11T01:21:04.269573,1016.93,hPa
humidity_sensor_1,2026-01-11T01:21:12.269573,52.44,%
temp_sensor_1,2026-01-11T01:21:20.269573,17.38,C
temp_sensor_2,2026-01-11T01:21:28.269573,16.25,C
humidity_sensor_1,2026-01-11T01:21:36.269573,57.0,%
humidity_sensor_1,2026-01-11T01:21:44.269573,39.17,%
humidity_sensor_1,2026-01-11T01:21:52.269573,56.89,%
humidity_sensor_1,2026-01-11T01:22:00.269573,51.66,%
pressure_sensor_1,2026-01-11T01:22:08.269573,1009.18,hPa
temp_sensor_1,2026-01-11T01:22:16.269573,19.94,C
temp_sensor_2,2026-01-11T01:22:24.269573,20.7,C
temp_sensor_2,2026-01-11T01:22:32.269573,17.24,C
temp_sensor_2,2026-01-11T01:22:40.269573,20.91,C
temp_sensor_2,2026-01-11T01:22:48.269573,19.54,C
humidity_sensor_1,2026-01-11T01:22:56.269573,43.45,%
temp_sensor_2,2026-01-11T01:23:04.269573,20.91,C
temp_sensor_1,2026-01-11T01:23:12.269573,19.34,C
temp_sensor_2,2026-01-11T01:23:20.269573,22.17,C
